external_id,occurred_at,municipality,latitude,longitude,surface_ha,cause
2025-7770,2025-06-19T02:39:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.03,Malveillance
2025-7771,2025-06-19T15:40:00+02:00,Roquecourbe-Minervois,43.21992243212854,2.649514932716105,0.2435,Malveillance
2025-7772,2025-06-19T16:45:00+02:00,Montbrun-des-Corbières,43.19854364938746,2.684462994837754,2.51,Malveillance
2025-7776,2025-06-20T17:31:00+02:00,Roquetaillade-et-Conilhac,42.9944265622438,2.199464758659488,0.005,Accidentelle
2025-7778,2025-06-20T23:57:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.01,Malveillance
2025-7777,2025-06-20T23:57:00+02:00,Moux,43.179871824633445,2.652793743288919,0.015,Malveillance
2025-7779,2025-06-21T09:26:00+02:00,Saint-Polycarpe,43.0412589055136,2.289606141364742,0.03,Accidentelle
2025-7780,2025-06-21T12:13:00+02:00,Taurize,43.07648166586115,2.504874435773843,0.393,Malveillance
2025-7793,2025-06-25T10:31:00+02:00,Véraza,42.986194711593605,2.305612286664637,0.1,Accidentelle
2025-7794,2025-06-25T16:27:00+02:00,Mailhac,43.302573633932475,2.827105653256592,8.814,Involontaire (particulier)
2025-7795,2025-06-25T23:13:00+02:00,Comigne,43.17024011417096,2.579710767454174,0.21,Malveillance
2025-7796,2025-06-26T02:16:00+02:00,Capendu,43.18412674335563,2.55772620868464,0.0025,Malveillance
2025-7797,2025-06-26T02:53:00+02:00,Monze,43.15702821446871,2.459662380734275,0.0016,Malveillance
2025-7801,2025-06-27T12:09:00+02:00,Azille,43.27803091084767,2.659377178891788,0.02,Malveillance
2025-7800,2025-06-27T12:09:00+02:00,Azille,43.27803091084767,2.659377178891788,0.035,Malveillance
2025-7804,2025-06-27T15:56:00+02:00,Fontiès-d'Aude,43.187349465968985,2.45308364706208,0.05,Accidentelle
2025-7807,2025-06-27T21:37:00+02:00,Luc-sur-Orbieu,43.178003654720946,2.787333515525606,0.1,Malveillance
2025-7808,2025-06-27T23:17:00+02:00,Montbrun-des-Corbières,43.19854364938746,2.684462994837754,0.787,Malveillance
2025-7809,2025-06-28T01:51:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.1524,Malveillance
2025-7812,2025-06-28T14:52:00+02:00,Moux,43.179871824633445,2.652793743288919,0.2186,Accidentelle
2025-7818,2025-06-29T03:54:00+02:00,Lagrasse,43.09259952134216,2.620331146283216,8.42,Malveillance
2025-7821,2025-06-29T15:55:00+02:00,Narbonne,43.183870014148766,3.003810464173475,43.83,Accidentelle
2025-7822,2025-06-29T15:55:00+02:00,Bizanet,43.16439398810079,2.871040759585876,29.696,Accidentelle
2025-7820,2025-06-29T15:55:00+02:00,Bizanet,43.16439398810079,2.871040759585876,218.48,Accidentelle
2025-7827,2025-06-29T20:15:00+02:00,Floure,43.183361893728026,2.489796992373256,0.193,Malveillance
2025-7831,2025-06-30T16:34:00+02:00,Carcassonne,43.21206195617653,2.35289992062672,24.77,Malveillance
2025-7833,2025-06-30T21:17:00+02:00,Badens,43.21858189790356,2.507709928226864,0.003,Malveillance
2025-7834,2025-07-01T09:20:00+02:00,Conques-sur-Orbiel,43.26927717192241,2.40191469296158,0.0002,
2025-7838,2025-07-01T19:08:00+02:00,Rouffiac-d'Aude,43.127783814197684,2.299222327974108,0.01,Malveillance
2025-7839,2025-07-01T23:13:00+02:00,Capendu,43.18412674335563,2.55772620868464,0.02,Malveillance
2025-7842,2025-07-02T15:17:00+02:00,Davejean,42.95982760137522,2.605411026867193,1.5,Naturelle
2025-7845,2025-07-03T02:39:00+02:00,Carcassonne,43.21206195617653,2.35289992062672,0.02,Accidentelle
2025-7851,2025-07-04T02:51:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.05,Malveillance
2025-7852,2025-07-05T03:30:00+02:00,Conilhac-Corbières,43.18776735961749,2.71780320190464,0.16,Malveillance
2025-7853,2025-07-05T04:12:00+02:00,Douzens,43.185552341672526,2.597692489358381,0.118,Malveillance
2025-7857,2025-07-05T13:33:00+02:00,Douzens,43.185552341672526,2.597692489358381,364.79,Accidentelle
2025-7867,2025-07-07T14:45:00+02:00,Narbonne,43.183870014148766,3.003810464173475,1551.25,Involontaire (particulier)
2025-7887,2025-07-10T17:16:00+02:00,Hounoux,43.128783873198074,2.001739018936941,0.5,
2025-7890,2025-07-11T16:17:00+02:00,Floure,43.183361893728026,2.489796992373256,0.0005,Involontaire (particulier)
2025-7894,2025-07-14T13:42:00+02:00,Villeneuve-Minervois,43.31480806938936,2.463319854043803,0.12,Naturelle
2025-7897,2025-07-15T12:42:00+02:00,Fitou,42.894378870923894,2.982573929998847,0.15,
2025-7901,2025-07-17T15:06:00+02:00,Taurize,43.07648166586115,2.504874435773843,0.025,Involontaire (travaux)
2025-7905,2025-07-19T00:49:00+02:00,Salles-d'Aude,43.2389501771528,3.118366325509324,0.05,Accidentelle
2025-7909,2025-07-23T12:45:00+02:00,Carcassonne,43.21206195617653,2.35289992062672,0.015,Involontaire (particulier)
2025-7913,2025-07-26T13:39:00+02:00,Sigean,43.02861016530339,2.979772849974658,282.91,Accidentelle
2025-7915,2025-07-26T23:10:00+02:00,Conilhac-Corbières,43.18776735961749,2.71780320190464,0.02,Malveillance
2025-7919,2025-07-28T16:42:00+02:00,Leucate,42.90919671541472,3.027447439766777,0.0001,
2025-7921,2025-07-28T20:01:00+02:00,Bizanet,43.16439398810079,2.871040759585876,0.833,Malveillance
2025-7922,2025-07-28T20:01:00+02:00,Bizanet,43.16439398810079,2.871040759585876,0.038,Malveillance
2025-7920,2025-07-28T20:01:00+02:00,Névian,43.21201697769804,2.904390650292648,0.3892,Malveillance
2025-7925,2025-07-30T17:10:00+02:00,Fitou,42.894378870923894,2.982573929998847,0.0001,Involontaire (particulier)
2025-7927,2025-07-31T15:17:00+02:00,Villegailhenc,43.26825325847357,2.35753111857453,44.46,Accidentelle
2025-7936,2025-08-03T17:06:00+02:00,Fitou,42.894378870923894,2.982573929998847,0.0001,Involontaire (particulier)
2025-7940,2025-08-04T01:35:00+02:00,Comigne,43.17024011417096,2.579710767454174,0.05,Malveillance
2025-7950,2025-08-05T16:16:00+02:00,Ribaute,43.10721724784194,2.634954976256798,11133.0,Malveillance
2025-7951,2025-08-05T17:07:00+02:00,Bouriège,42.98522382711905,2.164664838180493,2.0,Accidentelle
2025-7953,2025-08-05T23:59:00+02:00,Luc-sur-Orbieu,43.178003654720946,2.787333515525606,2.34,Malveillance
2025-7955,2025-08-06T18:57:00+02:00,Caunettes-en-Val,43.06334895182353,2.553558215841385,0.03,Accidentelle
2025-7954,2025-08-06T18:57:00+02:00,Mayronnes,43.05635517260514,2.525583022648961,0.0165,Malveillance
2025-7957,2025-08-07T01:33:00+02:00,Douzens,43.185552341672526,2.597692489358381,0.03,Malveillance
2025-7958,2025-08-07T02:35:00+02:00,Fontcouverte,43.16854606811462,2.689882620471404,0.01,Malveillance
2025-7960,2025-08-07T14:06:00+02:00,Quillan,42.87515389069036,2.184600965439358,1.55,Malveillance
2025-7975,2025-08-13T21:14:00+02:00,Luc-sur-Orbieu,43.178003654720946,2.787333515525606,0.008,
2025-7976,2025-08-14T01:31:00+02:00,Lézignan-Corbières,43.20054117592041,2.75782145958777,0.19,Malveillance
2025-7979,2025-08-15T13:44:00+02:00,Narbonne,43.183870014148766,3.003810464173475,0.3,
2025-7980,2025-08-16T17:51:00+02:00,Lanet,42.96420440948472,2.495262687491467,1.321,Involontaire (particulier)
2025-7981,2025-08-17T15:23:00+02:00,Aragon,43.295941228281336,2.31428122438178,0.08,Accidentelle
2025-7986,2025-08-19T18:28:00+02:00,Bagnoles,43.271503555910556,2.435689748148481,0.02,Naturelle
2025-7990,2025-08-22T19:59:00+02:00,Bize-Minervois,43.31824488894912,2.870708931155284,1.25,Accidentelle
2025-7993,2025-08-23T15:49:00+02:00,Carcassonne,43.21206195617653,2.35289992062672,1.93,Malveillance
2025-7997,2025-08-24T17:45:00+02:00,Fontiers-Cabardès,43.36960905087315,2.247711861876289,0.15,Accidentelle
